commodity,report_begin_date,average_price
Blackberries,12/31/2020,16.625
Blackberries,12/31/2020,17.625
Blueberries,12/31/2020,19.25
Blueberries,12/31/2020,29.25
Blueberries,12/31/2020,17.875
Cranberries,12/31/2020,#¡DIV/0!
Raspberries,12/31/2020,24.5
Raspberries,12/31/2020,30.5
Strawberries,12/31/2020,19.5
Strawberries,12/31/2020,30
Strawberries,12/31/2020,17.5
Strawberries,12/31/2020,18.5
Strawberries,12/31/2020,19.5
Blackberries,12/30/2020,17.625
Blackberries,12/30/2020,16.625
Blueberries,12/30/2020,29.25
Blueberries,12/30/2020,19.25
Blueberries,12/30/2020,17.875
Cranberries,12/30/2020,18
Raspberries,12/30/2020,30.5
Raspberries,12/30/2020,24.5
Strawberries,12/30/2020,16.75
Strawberries,12/30/2020,17.75
Strawberries,12/30/2020,15.5
Strawberries,12/30/2020,19.5
Strawberries,12/30/2020,30
Strawberries,12/30/2020,14.5
Blackberries,12/29/2020,9
Blackberries,12/29/2020,16.625
Blackberries,12/29/2020,17.625
Blueberries,12/29/2020,19.25
Blueberries,12/29/2020,29.25
Blueberries,12/29/2020,17.875
Cranberries,12/29/2020,38.25
Raspberries,12/29/2020,24.5
Raspberries,12/29/2020,30.5
Strawberries,12/29/2020,15.5
Strawberries,12/29/2020,19.5
Strawberries,12/29/2020,14.5
Strawberries,12/29/2020,30
Strawberries,12/29/2020,17.75
Strawberries,12/29/2020,16.75
Blackberries,12/28/2020,17.625
Blackberries,12/28/2020,9
Blackberries,12/28/2020,16.625
Blueberries,12/28/2020,19.25
Blueberries,12/28/2020,29.25
Blueberries,12/28/2020,17.875
Cranberries,12/28/2020,38.25
Raspberries,12/28/2020,24.5
Raspberries,12/28/2020,30.5
Strawberries,12/28/2020,14.5
Strawberries,12/28/2020,16.75
Strawberries,12/28/2020,15.5
Strawberries,12/28/2020,30
Strawberries,12/28/2020,19.5
Strawberries,12/28/2020,17.75
Blackberries,12/23/2020,9
Blackberries,12/23/2020,16.625
Blackberries,12/23/2020,17.625
Blueberries,12/23/2020,19.25
Blueberries,12/23/2020,29.25
Blueberries,12/23/2020,17.875
Cranberries,12/23/2020,38.25
Raspberries,12/23/2020,24.5
Raspberries,12/23/2020,30.5
Strawberries,12/23/2020,16.75
Strawberries,12/23/2020,15.5
Strawberries,12/23/2020,14.5
